Sample in Buffer,Sample in Window,TRIGGER,ram_wr_en,ram_wr_we,ram_rd_en,rd_flag,ram_wr_addr[5:0],ram_wr_data[7:0],ram_rd_addr[5:0],ram_rd_data[7:0]
140,140,0,1,1,1,1,43,43,11,10
141,141,0,1,1,1,1,44,44,12,11
142,142,0,1,1,1,1,45,45,13,12
143,143,0,1,1,1,1,46,46,14,13
144,144,0,1,1,1,1,47,47,15,14
145,145,0,1,1,1,1,48,48,16,15
146,146,0,1,1,1,1,49,49,17,16
147,147,0,1,1,1,1,50,50,18,17
148,148,0,1,1,1,1,51,51,19,18
149,149,0,1,1,1,1,52,52,20,19
150,150,0,1,1,1,1,53,53,21,20
151,151,0,1,1,1,1,54,54,22,21
152,152,0,1,1,1,1,55,55,23,22
153,153,0,1,1,1,1,56,56,24,23
154,154,0,1,1,1,1,57,57,25,24
155,155,0,1,1,1,1,58,58,26,25
156,156,0,1,1,1,1,59,59,27,26
157,157,0,1,1,1,1,60,60,28,27
158,158,0,1,1,1,1,61,61,29,28
159,159,0,1,1,1,1,62,62,30,29
160,160,0,1,1,1,1,63,63,31,30
161,161,0,1,1,1,1,0,0,32,31
162,162,0,1,1,1,1,1,1,33,32
163,163,0,1,1,1,1,2,2,34,33
164,164,0,1,1,1,1,3,3,35,34
165,165,0,1,1,1,1,4,4,36,35
166,166,0,1,1,1,1,5,5,37,36
167,167,0,1,1,1,1,6,6,38,37
168,168,0,1,1,1,1,7,7,39,38
169,169,0,1,1,1,1,8,8,40,39
170,170,0,1,1,1,1,9,9,41,40
171,171,0,1,1,1,1,10,10,42,41
172,172,0,1,1,1,1,11,11,43,42
173,173,0,1,1,1,1,12,12,44,43
174,174,0,1,1,1,1,13,13,45,44
175,175,0,1,1,1,1,14,14,46,45
176,176,0,1,1,1,1,15,15,47,46
177,177,0,1,1,1,1,16,16,48,47
178,178,0,1,1,1,1,17,17,49,48
179,179,0,1,1,1,1,18,18,50,49
180,180,0,1,1,1,1,19,19,51,50
181,181,0,1,1,1,1,20,20,52,51
182,182,0,1,1,1,1,21,21,53,52
183,183,0,1,1,1,1,22,22,54,53
184,184,0,1,1,1,1,23,23,55,54
185,185,0,1,1,1,1,24,24,56,55
186,186,0,1,1,1,1,25,25,57,56
187,187,0,1,1,1,1,26,26,58,57
188,188,0,1,1,1,1,27,27,59,58
189,189,0,1,1,1,1,28,28,60,59
190,190,0,1,1,1,1,29,29,61,60
191,191,0,1,1,1,1,30,30,62,61
192,192,0,1,1,1,1,31,31,63,62
193,193,0,1,1,1,1,32,32,0,63
194,194,0,1,1,1,1,33,33,1,0
195,195,0,1,1,1,1,34,34,2,1
196,196,0,1,1,1,1,35,35,3,2
197,197,0,1,1,1,1,36,36,4,3
198,198,0,1,1,1,1,37,37,5,4
199,199,0,1,1,1,1,38,38,6,5
200,200,0,1,1,1,1,39,39,7,6
201,201,0,1,1,1,1,40,40,8,7
202,202,0,1,1,1,1,41,41,9,8
203,203,0,1,1,1,1,42,42,10,9
204,204,0,1,1,1,1,43,43,11,10
205,205,0,1,1,1,1,44,44,12,11
206,206,0,1,1,1,1,45,45,13,12
207,207,0,1,1,1,1,46,46,14,13
208,208,0,1,1,1,1,47,47,15,14
209,209,0,1,1,1,1,48,48,16,15
210,210,0,1,1,1,1,49,49,17,16
211,211,0,1,1,1,1,50,50,18,17
212,212,0,1,1,1,1,51,51,19,18
213,213,0,1,1,1,1,52,52,20,19
214,214,0,1,1,1,1,53,53,21,20
215,215,0,1,1,1,1,54,54,22,21
216,216,0,1,1,1,1,55,55,23,22
217,217,0,1,1,1,1,56,56,24,23
218,218,0,1,1,1,1,57,57,25,24
219,219,0,1,1,1,1,58,58,26,25
220,220,0,1,1,1,1,59,59,27,26
221,221,0,1,1,1,1,60,60,28,27
222,222,0,1,1,1,1,61,61,29,28
223,223,0,1,1,1,1,62,62,30,29
224,224,0,1,1,1,1,63,63,31,30
225,225,0,1,1,1,1,0,0,32,31
226,226,0,1,1,1,1,1,1,33,32
227,227,0,1,1,1,1,2,2,34,33
228,228,0,1,1,1,1,3,3,35,34
229,229,0,1,1,1,1,4,4,36,35
230,230,0,1,1,1,1,5,5,37,36
231,231,0,1,1,1,1,6,6,38,37
232,232,0,1,1,1,1,7,7,39,38
233,233,0,1,1,1,1,8,8,40,39
234,234,0,1,1,1,1,9,9,41,40
235,235,0,1,1,1,1,10,10,42,41
236,236,0,1,1,1,1,11,11,43,42
237,237,0,1,1,1,1,12,12,44,43
238,238,0,1,1,1,1,13,13,45,44
239,239,0,1,1,1,1,14,14,46,45
240,240,0,1,1,1,1,15,15,47,46
241,241,0,1,1,1,1,16,16,48,47
242,242,0,1,1,1,1,17,17,49,48
243,243,0,1,1,1,1,18,18,50,49
244,244,0,1,1,1,1,19,19,51,50
245,245,0,1,1,1,1,20,20,52,51
246,246,0,1,1,1,1,21,21,53,52
247,247,0,1,1,1,1,22,22,54,53
248,248,0,1,1,1,1,23,23,55,54
249,249,0,1,1,1,1,24,24,56,55
250,250,0,1,1,1,1,25,25,57,56
251,251,0,1,1,1,1,26,26,58,57
252,252,0,1,1,1,1,27,27,59,58
253,253,0,1,1,1,1,28,28,60,59
254,254,0,1,1,1,1,29,29,61,60
255,255,0,1,1,1,1,30,30,62,61
256,256,0,1,1,1,1,31,31,63,62
